class1	gender1	class2	gender2	num_of_connections
4B	F	3A	M	0
4B	F	3B	M	0
4B	F	1A	F	0
4B	F	1A	M	1
4B	F	4B	M	15
4B	F	4B	M	2
4A	F	3B	M	0
4A	F	3B	M	11
4A	F	3B	F	1
4A	F	3B	F	0
4A	F	3B	F	0
4A	F	4B	F	0
4A	F	4B	M	0
4A	F	4B	M	16
4A	F	1B	M	1
4A	F	1B	M	4
4A	F	4B	F	0
4A	F	4B	M	0
4A	F	3A	M	0
4A	F	3A	M	0
4A	F	3A	F	0
4A	F	3A	M	0
4A	F	3B	M	0
4A	F	1A	F	0
4A	F	1A	M	0
4A	F	4B	M	2
4A	F	4B	M	0
4A	F	4B	F	0
4A	M	3B	M	0
4A	M	3B	M	0
4A	M	3B	F	0
4A	M	3B	F	0
4A	M	3B	F	0
4A	M	4B	F	0
4A	M	4B	M	0
4A	M	4B	M	42
4A	M	1B	M	0
4A	M	1B	M	32
4A	M	4B	F	0
4A	M	4B	M	0
4A	M	3A	M	0
4A	M	3A	M	0
4A	M	3A	F	0
4A	M	3A	M	0
4A	M	3B	M	0
4A	M	1A	F	0
4A	M	1A	M	0
4A	M	4B	M	0
4A	M	4B	M	0
4A	M	4B	F	0
4A	M	4A	F	23
1A	F	3B	M	13
1A	F	3B	M	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	4B	F	3
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	1B	M	1
1A	F	1B	M	0
1A	F	4B	F	2
1A	F	4B	M	0
1A	F	3A	M	0
1A	F	3A	M	0
1A	F	3A	F	3
1A	F	3A	M	4
1A	F	3B	M	1
1A	F	1A	F	121
1A	F	1A	M	61
1A	F	4B	M	2
1A	F	4B	M	0
1A	F	4B	F	0
1A	F	4A	F	0
1A	F	4A	M	0
1A	F	3B	M	0
1A	F	3B	M	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	4B	F	0
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	1B	M	0
1A	F	1B	M	0
1A	F	4B	F	0
1A	F	4B	M	0
1A	F	3A	M	0
1A	F	3A	M	0
1A	F	3A	F	0
1A	F	3A	M	0
1A	F	3B	M	0
1A	F	1A	F	114
1A	F	1A	M	5
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	4B	F	0
1A	F	4A	F	0
1A	F	4A	M	0
1A	F	1A	F	49
5A	M	3B	M	0
5A	M	3B	M	2
5A	M	3B	F	1
5A	M	3B	F	0
5A	M	3B	F	0
5A	M	4B	F	0
5A	M	4B	M	1
5A	M	4B	M	0
5A	M	1B	M	0
5A	M	1B	M	1
5A	M	4B	F	0
5A	M	4B	M	0
5A	M	3A	M	0
5A	M	3A	M	1
5A	M	3A	F	0
5A	M	3A	M	0
5A	M	3B	M	0
5A	M	1A	F	0
5A	M	1A	M	0
5A	M	4B	M	0
5A	M	4B	M	1
5A	M	4B	F	0
5A	M	4A	F	1
5A	M	4A	M	0
5A	M	1A	F	0
5A	M	1A	F	0
5A	M	3B	M	0
5A	M	3B	M	0
5A	M	3B	F	0
5A	M	3B	F	1
5A	M	3B	F	0
5A	M	4B	F	0
5A	M	4B	M	0
5A	M	4B	M	0
5A	M	1B	M	4
5A	M	1B	M	0
5A	M	4B	F	0
5A	M	4B	M	0
5A	M	3A	M	1
5A	M	3A	M	0
5A	M	3A	F	0
5A	M	3A	M	0
5A	M	3B	M	0
5A	M	1A	F	0
5A	M	1A	M	0
5A	M	4B	M	0
5A	M	4B	M	0
5A	M	4B	F	1
5A	M	4A	F	0
5A	M	4A	M	0
5A	M	1A	F	0
5A	M	1A	F	0
5A	M	5A	M	82
2A	F	3B	M	0
2A	F	3B	M	0
2A	F	3B	F	0
2A	F	3B	F	0
2A	F	3B	F	1
2A	F	4B	F	0
2A	F	4B	M	0
2A	F	4B	M	0
2A	F	1B	M	0
2A	F	1B	M	0
2A	F	4B	F	0
2A	F	4B	M	0
2A	F	3A	M	0
2A	F	3A	M	0
2A	F	3A	F	0
2A	F	3A	M	1
2A	F	3B	M	1
2A	F	1A	F	1
2A	F	1A	M	0
2A	F	4B	M	0
2A	F	4B	M	0
2A	F	4B	F	0
2A	F	4A	F	0
2A	F	4A	M	0
2A	F	1A	F	1
2A	F	1A	F	0
2A	F	5A	M	0
2A	F	5A	M	0
2A	F	3B	M	0
2A	F	3B	M	0
2A	F	3B	F	0
2A	F	3B	F	0
2A	F	3B	F	0
2A	F	4B	F	0
2A	F	4B	M	0
2A	F	4B	M	0
2A	F	1B	M	0
2A	F	1B	M	0
2A	F	4B	F	0
2A	F	4B	M	0
2A	F	3A	M	0
2A	F	3A	M	0
2A	F	3A	F	0
2A	F	3A	M	0
2A	F	3B	M	0
2A	F	1A	F	6
2A	F	1A	M	0
2A	F	4B	M	0
2A	F	4B	M	0
2A	F	4B	F	0
2A	F	4A	F	0
2A	F	4A	M	0
2A	F	1A	F	3
2A	F	1A	F	0
2A	F	5A	M	0
2A	F	5A	M	0
2A	F	2A	F	489
1A	M	3B	M	1
1A	M	3B	M	1
1A	M	3B	F	1
1A	M	3B	F	0
1A	M	3B	F	0
1A	M	4B	F	0
1A	M	4B	M	1
1A	M	4B	M	1
1A	M	1B	M	21
1A	M	1B	M	5
1A	M	4B	F	1
1A	M	4B	M	1
1A	M	3A	M	1
1A	M	3A	M	2
1A	M	3A	F	2
1A	M	3A	M	2
1A	M	3B	M	1
1A	M	1A	F	11
1A	M	1A	M	99
1A	M	4B	M	4
1A	M	4B	M	1
1A	M	4B	F	0
1A	M	4A	F	0
1A	M	4A	M	1
1A	M	1A	F	89
1A	M	1A	F	6
1A	M	5A	M	0
1A	M	5A	M	0
1A	M	2A	F	29
1A	M	2A	F	0
5A	M	3B	M	0
5A	M	3B	M	0
5A	M	3B	F	1
5A	M	3B	F	0
5A	M	3B	F	0
5A	M	4B	F	0
5A	M	4B	M	0
5A	M	4B	M	1
5A	M	1B	M	3
5A	M	1B	M	1
5A	M	4B	F	0
5A	M	4B	M	0
5A	M	3A	M	0
5A	M	3A	M	0
5A	M	3A	F	0
5A	M	3A	M	0
5A	M	3B	M	0
5A	M	1A	F	0
5A	M	1A	M	0
5A	M	4B	M	0
5A	M	4B	M	0
5A	M	4B	F	0
5A	M	4A	F	2
5A	M	4A	M	0
5A	M	1A	F	0
5A	M	1A	F	0
5A	M	5A	M	40
5A	M	5A	M	6
5A	M	2A	F	0
5A	M	2A	F	0
5A	M	1A	M	2
5A	M	3B	M	2
5A	M	3B	M	2
5A	M	3B	F	0
5A	M	3B	F	0
5A	M	3B	F	0
5A	M	4B	F	0
5A	M	4B	M	0
5A	M	4B	M	3
5A	M	1B	M	5
5A	M	1B	M	1
5A	M	4B	F	0
5A	M	4B	M	1
5A	M	3A	M	0
5A	M	3A	M	1
5A	M	3A	F	3
5A	M	3A	M	2
5A	M	3B	M	0
5A	M	1A	F	0
5A	M	1A	M	0
5A	M	4B	M	1
5A	M	4B	M	0
5A	M	4B	F	0
5A	M	4A	F	2
5A	M	4A	M	3
5A	M	1A	F	1
5A	M	1A	F	0
5A	M	5A	M	128
5A	M	5A	M	19
5A	M	2A	F	2
5A	M	2A	F	0
5A	M	1A	M	1
5A	M	5A	M	70
5A	F	3B	M	1
5A	F	3B	M	2
5A	F	3B	F	1
5A	F	3B	F	0
5A	F	3B	F	0
5A	F	4B	F	0
5A	F	4B	M	0
5A	F	4B	M	0
5A	F	1B	M	15
5A	F	1B	M	0
5A	F	4B	F	0
5A	F	4B	M	0
5A	F	3A	M	0
5A	F	3A	M	0
5A	F	3A	F	0
5A	F	3A	M	0
5A	F	3B	M	0
5A	F	1A	F	1
5A	F	1A	M	0
5A	F	4B	M	3
5A	F	4B	M	0
5A	F	4B	F	0
5A	F	4A	F	1
5A	F	4A	M	0
5A	F	1A	F	0
5A	F	1A	F	0
5A	F	5A	M	10
5A	F	5A	M	20
5A	F	2A	F	0
5A	F	2A	F	0
5A	F	1A	M	0
5A	F	5A	M	36
5A	F	5A	M	117
5A	M	3B	M	0
5A	M	3B	M	0
5A	M	3B	F	1
5A	M	3B	F	1
5A	M	3B	F	1
5A	M	4B	F	0
5A	M	4B	M	0
5A	M	4B	M	1
5A	M	1B	M	27
5A	M	1B	M	1
5A	M	4B	F	0
5A	M	4B	M	0
5A	M	3A	M	0
5A	M	3A	M	0
5A	M	3A	F	0
5A	M	3A	M	0
5A	M	3B	M	0
5A	M	1A	F	0
5A	M	1A	M	0
5A	M	4B	M	0
5A	M	4B	M	0
5A	M	4B	F	0
5A	M	4A	F	1
5A	M	4A	M	1
5A	M	1A	F	0
5A	M	1A	F	0
5A	M	5A	M	20
5A	M	5A	M	94
5A	M	2A	F	1
5A	M	2A	F	0
5A	M	1A	M	0
5A	M	5A	M	113
5A	M	5A	M	24
5A	M	5A	F	47
5A	F	3B	M	0
5A	F	3B	M	3
5A	F	3B	F	1
5A	F	3B	F	0
5A	F	3B	F	0
5A	F	4B	F	0
5A	F	4B	M	0
5A	F	4B	M	1
5A	F	1B	M	1
5A	F	1B	M	0
5A	F	4B	F	0
5A	F	4B	M	0
5A	F	3A	M	0
5A	F	3A	M	0
5A	F	3A	F	0
5A	F	3A	M	1
5A	F	3B	M	0
5A	F	1A	F	0
5A	F	1A	M	0
5A	F	4B	M	0
5A	F	4B	M	0
5A	F	4B	F	0
5A	F	4A	F	0
5A	F	4A	M	0
5A	F	1A	F	0
5A	F	1A	F	0
5A	F	5A	M	9
5A	F	5A	M	10
5A	F	2A	F	0
5A	F	2A	F	0
5A	F	1A	M	1
5A	F	5A	M	20
5A	F	5A	M	14
5A	F	5A	F	97
5A	F	5A	M	19
5A	M	3B	M	0
5A	M	3B	M	2
5A	M	3B	F	3
5A	M	3B	F	0
5A	M	3B	F	0
5A	M	4B	F	0
5A	M	4B	M	2
5A	M	4B	M	0
5A	M	1B	M	0
5A	M	1B	M	0
5A	M	4B	F	0
5A	M	4B	M	0
5A	M	3A	M	0
5A	M	3A	M	0
5A	M	3A	F	0
5A	M	3A	M	1
5A	M	3B	M	0
5A	M	1A	F	0
5A	M	1A	M	0
5A	M	4B	M	0
5A	M	4B	M	0
5A	M	4B	F	0
5A	M	4A	F	1
5A	M	4A	M	0
5A	M	1A	F	0
5A	M	1A	F	0
5A	M	5A	M	153
5A	M	5A	M	34
5A	M	2A	F	0
5A	M	2A	F	0
5A	M	1A	M	1
5A	M	5A	M	96
5A	M	5A	M	146
5A	M	5A	F	21
5A	M	5A	M	35
5A	M	5A	F	8
4A	F	3B	M	0
4A	F	3B	M	6
4A	F	3B	F	2
4A	F	3B	F	0
4A	F	3B	F	0
4A	F	4B	F	0
4A	F	4B	M	0
4A	F	4B	M	0
4A	F	1B	M	0
4A	F	1B	M	0
4A	F	4B	F	0
4A	F	4B	M	0
4A	F	3A	M	0
4A	F	3A	M	0
4A	F	3A	F	0
4A	F	3A	M	0
4A	F	3B	M	0
4A	F	1A	F	0
4A	F	1A	M	0
4A	F	4B	M	5
4A	F	4B	M	0
4A	F	4B	F	0
4A	F	4A	F	121
4A	F	4A	M	59
4A	F	1A	F	0
4A	F	1A	F	0
4A	F	5A	M	0
4A	F	5A	M	1
4A	F	2A	F	0
4A	F	2A	F	0
4A	F	1A	M	0
4A	F	5A	M	0
4A	F	5A	M	0
4A	F	5A	F	0
4A	F	5A	M	0
4A	F	5A	F	0
4A	F	5A	M	0
2A	F	3B	M	1
2A	F	3B	M	0
2A	F	3B	F	0
2A	F	3B	F	0
2A	F	3B	F	0
2A	F	4B	F	0
2A	F	4B	M	0
2A	F	4B	M	0
2A	F	1B	M	0
2A	F	1B	M	0
2A	F	4B	F	0
2A	F	4B	M	0
2A	F	3A	M	0
2A	F	3A	M	0
2A	F	3A	F	0
2A	F	3A	M	3
2A	F	3B	M	1
2A	F	1A	F	1
2A	F	1A	M	0
2A	F	4B	M	0
2A	F	4B	M	0
2A	F	4B	F	0
2A	F	4A	F	0
2A	F	4A	M	0
2A	F	1A	F	0
2A	F	1A	F	0
2A	F	5A	M	0
2A	F	5A	M	0
2A	F	2A	F	13
2A	F	2A	F	6
2A	F	1A	M	1
2A	F	5A	M	0
2A	F	5A	M	0
2A	F	5A	F	0
2A	F	5A	M	0
2A	F	5A	F	0
2A	F	5A	M	0
2A	F	4A	F	0
2A	F	3B	M	0
2A	F	3B	M	0
2A	F	3B	F	0
2A	F	3B	F	0
2A	F	3B	F	0
2A	F	4B	F	0
2A	F	4B	M	0
2A	F	4B	M	1
2A	F	1B	M	2
2A	F	1B	M	0
2A	F	4B	F	0
2A	F	4B	M	0
2A	F	3A	M	0
2A	F	3A	M	0
2A	F	3A	F	1
2A	F	3A	M	5
2A	F	3B	M	2
2A	F	1A	F	0
2A	F	1A	M	0
2A	F	4B	M	0
2A	F	4B	M	0
2A	F	4B	F	0
2A	F	4A	F	0
2A	F	4A	M	0
2A	F	1A	F	8
2A	F	1A	F	0
2A	F	5A	M	0
2A	F	5A	M	0
2A	F	2A	F	11
2A	F	2A	F	10
2A	F	1A	M	3
2A	F	5A	M	1
2A	F	5A	M	1
2A	F	5A	F	1
2A	F	5A	M	0
2A	F	5A	F	0
2A	F	5A	M	0
2A	F	4A	F	0
2A	F	2A	F	165
1A	M	3B	M	0
1A	M	3B	M	0
1A	M	3B	F	0
1A	M	3B	F	0
1A	M	3B	F	0
1A	M	4B	F	1
1A	M	4B	M	0
1A	M	4B	M	0
1A	M	1B	M	2
1A	M	1B	M	0
1A	M	4B	F	1
1A	M	4B	M	0
1A	M	3A	M	0
1A	M	3A	M	0
1A	M	3A	F	0
1A	M	3A	M	5
1A	M	3B	M	0
1A	M	1A	F	54
1A	M	1A	M	48
1A	M	4B	M	0
1A	M	4B	M	0
1A	M	4B	F	1
1A	M	4A	F	0
1A	M	4A	M	0
1A	M	1A	F	23
1A	M	1A	F	6
1A	M	5A	M	0
1A	M	5A	M	0
1A	M	2A	F	0
1A	M	2A	F	1
1A	M	1A	M	29
1A	M	5A	M	0
1A	M	5A	M	1
1A	M	5A	F	0
1A	M	5A	M	0
1A	M	5A	F	0
1A	M	5A	M	0
1A	M	4A	F	0
1A	M	2A	F	0
1A	M	2A	F	0
1A	F	3B	M	5
1A	F	3B	M	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	4B	F	0
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	1B	M	0
1A	F	1B	M	0
1A	F	4B	F	0
1A	F	4B	M	0
1A	F	3A	M	0
1A	F	3A	M	2
1A	F	3A	F	0
1A	F	3A	M	0
1A	F	3B	M	2
1A	F	1A	F	36
1A	F	1A	M	9
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	4B	F	0
1A	F	4A	F	0
1A	F	4A	M	0
1A	F	1A	F	40
1A	F	1A	F	4
1A	F	5A	M	0
1A	F	5A	M	0
1A	F	2A	F	2
1A	F	2A	F	2
1A	F	1A	M	9
1A	F	5A	M	1
1A	F	5A	M	0
1A	F	5A	F	0
1A	F	5A	M	0
1A	F	5A	F	0
1A	F	5A	M	1
1A	F	4A	F	0
1A	F	2A	F	1
1A	F	2A	F	0
1A	F	1A	M	32
1A	M	3B	M	0
1A	M	3B	M	0
1A	M	3B	F	0
1A	M	3B	F	0
1A	M	3B	F	0
1A	M	4B	F	0
1A	M	4B	M	1
1A	M	4B	M	0
1A	M	1B	M	3
1A	M	1B	M	0
1A	M	4B	F	0
1A	M	4B	M	1
1A	M	3A	M	1
1A	M	3A	M	0
1A	M	3A	F	0
1A	M	3A	M	0
1A	M	3B	M	0
1A	M	1A	F	8
1A	M	1A	M	22
1A	M	4B	M	0
1A	M	4B	M	0
1A	M	4B	F	0
1A	M	4A	F	1
1A	M	4A	M	0
1A	M	1A	F	11
1A	M	1A	F	24
1A	M	5A	M	0
1A	M	5A	M	0
1A	M	2A	F	2
1A	M	2A	F	0
1A	M	1A	M	21
1A	M	5A	M	0
1A	M	5A	M	0
1A	M	5A	F	0
1A	M	5A	M	0
1A	M	5A	F	0
1A	M	5A	M	0
1A	M	4A	F	0
1A	M	2A	F	0
1A	M	2A	F	1
1A	M	1A	M	96
1A	M	1A	F	6
1A	F	3B	M	0
1A	F	3B	M	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	4B	F	0
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	1B	M	0
1A	F	1B	M	0
1A	F	4B	F	0
1A	F	4B	M	0
1A	F	3A	M	0
1A	F	3A	M	0
1A	F	3A	F	0
1A	F	3A	M	0
1A	F	3B	M	0
1A	F	1A	F	19
1A	F	1A	M	6
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	4B	F	0
1A	F	4A	F	0
1A	F	4A	M	0
1A	F	1A	F	5
1A	F	1A	F	31
1A	F	5A	M	0
1A	F	5A	M	0
1A	F	2A	F	0
1A	F	2A	F	0
1A	F	1A	M	7
1A	F	5A	M	0
1A	F	5A	M	0
1A	F	5A	F	0
1A	F	5A	M	0
1A	F	5A	F	0
1A	F	5A	M	0
1A	F	4A	F	0
1A	F	2A	F	0
1A	F	2A	F	0
1A	F	1A	M	5
1A	F	1A	F	10
1A	F	1A	M	48
1A	M	3B	M	1
1A	M	3B	M	0
1A	M	3B	F	1
1A	M	3B	F	0
1A	M	3B	F	0
1A	M	4B	F	0
1A	M	4B	M	0
1A	M	4B	M	1
1A	M	1B	M	19
1A	M	1B	M	84
1A	M	4B	F	0
1A	M	4B	M	0
1A	M	3A	M	0
1A	M	3A	M	0
1A	M	3A	F	1
1A	M	3A	M	16
1A	M	3B	M	6
1A	M	1A	F	17
1A	M	1A	M	11
1A	M	4B	M	1
1A	M	4B	M	1
1A	M	4B	F	1
1A	M	4A	F	1
1A	M	4A	M	0
1A	M	1A	F	35
1A	M	1A	F	0
1A	M	5A	M	0
1A	M	5A	M	0
1A	M	2A	F	1
1A	M	2A	F	0
1A	M	1A	M	52
1A	M	5A	M	0
1A	M	5A	M	1
1A	M	5A	F	0
1A	M	5A	M	0
1A	M	5A	F	0
1A	M	5A	M	0
1A	M	4A	F	3
1A	M	2A	F	0
1A	M	2A	F	0
1A	M	1A	M	24
1A	M	1A	F	3
1A	M	1A	M	38
1A	M	1A	F	1
1A	F	3B	M	1
1A	F	3B	M	1
1A	F	3B	F	1
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	4B	F	1
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	1B	M	3
1A	F	1B	M	7
1A	F	4B	F	0
1A	F	4B	M	1
1A	F	3A	M	1
1A	F	3A	M	0
1A	F	3A	F	0
1A	F	3A	M	0
1A	F	3B	M	0
1A	F	1A	F	15
1A	F	1A	M	97
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	4B	F	0
1A	F	4A	F	0
1A	F	4A	M	0
1A	F	1A	F	15
1A	F	1A	F	3
1A	F	5A	M	0
1A	F	5A	M	0
1A	F	2A	F	1
1A	F	2A	F	0
1A	F	1A	M	11
1A	F	5A	M	0
1A	F	5A	M	0
1A	F	5A	F	0
1A	F	5A	M	0
1A	F	5A	F	0
1A	F	5A	M	0
1A	F	4A	F	0
1A	F	2A	F	0
1A	F	2A	F	1
1A	F	1A	M	101
1A	F	1A	F	6
1A	F	1A	M	48
1A	F	1A	F	8
1A	F	1A	M	127
1A	F	3B	M	0
1A	F	3B	M	0
1A	F	3B	F	0
1A	F	3B	F	0
1A	F	3B	F	1
1A	F	4B	F	6
1A	F	4B	M	0
1A	F	4B	M	0
1A	F	1B	M	2
1A	F	1B	M	0
1A	F	4B	F	0
1A	F	4B	M	0
1A	F	3A	M	0
1A	F	3A	M	0
1A	F	3A	F	0
1A	F	3A	M	0
1A	F	3B	M	0
1A	F	1A	F	12
1A	F	1A	M	7
1A	F	4B	M	1
1A	F	4B	M	0
1A	F	4B	F	0
1A	F	4A	F	0
1A	F	4A	M	0
1A	F	1A	F	26
1A	F	1A	F	8
1A	F	5A	M	0
1A	F	5A	M	0
1A	F	2A	F	0
1A	F	2A	F	0
1A	F	1A	M	8
1A	F	5A	M	0
1A	F	5A	M	0
1A	F	5A	F	0
1A	F	5A	M	0
1A	F	5A	F	0
1A	F	5A	M	1
1A	F	4A	F	0
1A	F	2A	F	0
1A	F	2A	F	0
1A	F	1A	M	6
1A	F	1A	F	11
1A	F	1A	M	23
1A	F	1A	F	23
1A	F	1A	M	19
1A	F	1A	F	10
5A	M	3B	M	1
5A	M	3B	M	2
5A	M	3B	F	0
5A	M	3B	F	0
5A	M	3B	F	0
5A	M	4B	F	1
5A	M	4B	M	0
5A	M	4B	M	0
5A	M	1B	M	0
5A	M	1B	M	0
5A	M	4B	F	0
5A	M	4B	M	1
5A	M	3A	M	0
5A	M	3A	M	0
5A	M	3A	F	0
5A	M	3A	M	0
5A	M	3B	M	0
5A	M	1A	F	0
5A	M	1A	M	1
5A	M	4B	M	0
5A	M	4B	M	0
5A	M	4B	F	1
5A	M	4A	F	1
5A	M	4A	M	2
5A	M	1A	F	0
5A	M	1A	F	0
5A	M	5A	M	65
5A	M	5A	M	10
5A	M	2A	F	0
5A	M	2A	F	0
5A	M	1A	M	0
5A	M	5A	M	196
5A	M	5A	M	39
5A	M	5A	F	55
5A	M	5A	M	107
5A	M	5A	F	54
5A	M	5A	M	67
5A	M	4A	F	0
5A	M	2A	F	0
5A	M	2A	F	1
5A	M	1A	M	1
5A	M	1A	F	0
5A	M	1A	M	0
5A	M	1A	F	0
5A	M	1A	M	0
5A	M	1A	F	0
5A	M	1A	F	0
5A	F	3B	M	0
5A	F	3B	M	0
5A	F	3B	F	0
5A	F	3B	F	0
5A	F	3B	F	0
5A	F	4B	F	0
5A	F	4B	M	0
5A	F	4B	M	1
5A	F	1B	M	1
5A	F	1B	M	0
5A	F	4B	F	0
5A	F	4B	M	0
5A	F	3A	M	0
5A	F	3A	M	0
5A	F	3A	F	0
5A	F	3A	M	0
5A	F	3B	M	0
5A	F	1A	F	0
5A	F	1A	M	0
5A	F	4B	M	0
5A	F	4B	M	0
5A	F	4B	F	0
5A	F	4A	F	0
5A	F	4A	M	0
5A	F	1A	F	0
5A	F	1A	F	0
5A	F	5A	M	34
5A	F	5A	M	18
5A	F	2A	F	0
5A	F	2A	F	0
5A	F	1A	M	0
5A	F	5A	M	11
5A	F	5A	M	24
5A	F	5A	F	16
5A	F	5A	M	16
